"item";"qid";"LP";"SH";"PG"
"1918-1920 flu pandemic";"Q178275";"2";"1";"1"
"cholera";"Q12090";"6";"4";"2"
"COVID-19";"Q84263196";"3";"2";"6"
"Ebola virus disease";"Q51993";"1";"3";"7"
"hepatitis B";"Q6853";"4";"7";"5"
"hepatitis C";"Q154869";"5";"6";"4"
"hepatitis E";"Q326643";"8";"8";"8"
"von Economo's disease";"Q1369020";"9";"9";"9"
"yellow fever";"Q154874";"7";"5";"3"
"";"";"";"";""
"Caspian Sea";"Q5484";"1";"1";"1"
"Koltajärvi";"Q11872280";"7";"8";"7"
"Lake Chad";"Q125309";"2";"3";"3"
"Lake Constance";"Q4127";"5";"4";"4"
"Lake Malawi";"Q5532";"6";"5";"6"
"Lake Prespa";"Q204392";"8";"9";"8"
"Lake Tanganyika";"Q5511";"4";"6";"5"
"Lake Victoria";"Q5505";"3";"2";"2"
"Sevlich";"Q1438571";"9";"7";"9"
"";"";"";"";""
"12 Monkeys";"Q175038";"1";"1";"1"
"28 Days Later";"Q221075";"2";"5";"4"
"28 Weeks Later";"Q221102";"4";"6";"3"
"Contagion";"Q730888";"3";"7";"8"
"Epidemic";"Q1754559";"9";"9";"9"
"I Am Legend";"Q212689";"8";"4";"6"
"Outbreak";"Q495513";"7";"3";"7"
"Quarantine";"Q1138614";"10";"10";"10"
"Resident Evil";"Q153484";"5";"2";"2"
"World War Z";"Q28196";"6";"8";"5"
"Albert II, Prince of Monaco";"Q3910";"7";"5";"5"
"Boris Johnson";"Q180589";"4";"3";"1"
"Charles, Prince of Wales";"Q43274";"3";"1";"2"
"J. K. Rowling";"Q34660";"2";"4";"4"
"Javier Solana";"Q154855";"10";"10";"7"
"Marianne Faithfull";"Q48280";"9";"9";"9"
"Martti Ahtisaari";"Q29230";"8";"6";"10"
"P!nk";"Q160009";"6";"8";"6"
"Plácido Domingo";"Q130853";"5";"7";"8"
"Tom Hanks";"Q2263";"1";"2";"3"
"Arabic";"Q13955";"6";"6";"5"
"Bengali";"Q9610";"7";"10";"7"
"Chinese";"Q7850";"1";"3";"1"
"English";"Q1860";"2";"1";"4"
"French";"Q150";"5";"2";"10"
"Hindi";"Q1568";"3";"4";"2"
"Indonesian";"Q9240";"10";"9";"9"
"Portuguese";"Q5146";"9";"8";"6"
"Russian";"Q7737";"8";"7";"8"
"Spanish";"Q1321";"4";"5";"3"
"Best Actor";"Q103916";"2";"3";"3"
"Best Actress";"Q103618";"3";"4";"4"
"Best Adapted Screenplay";"Q107258";"8";"8";"8"
"Best Animated Feature";"Q106800";"10";"10";"10"
"Best Director";"Q103360";"4";"2";"2"
"Best Foreign Language Film";"Q105304";"9";"9";"9"
"Best Original Screenplay";"Q41417";"7";"7";"7"
"Best Picture";"Q102427";"1";"1";"1"
"Best Supporting Actor";"Q106291";"5";"5";"5"
"Best Supporting Actress";"Q106301";"6";"6";"6"
"Bangkok";"Q194316";"9";"8";"8"
"Beijing";"Q32190";"3";"1";"1"
"Dubai";"Q193439";"2";"2";"2"
"Heathrow";"Q8691";"1";"3";"3"
"Hong-Kong";"Q17704";"5";"5";"6"
"JFK";"Q8685";"8";"9";"9"
"Paris";"Q46280";"4";"4";"5"
"Shanghai";"Q36420";"6";"6";"4"
"Singapore";"Q32159";"7";"7";"7"
"Sydney";"Q17581";"10";"10";"10"
"F.W. Murnau";"Q55412";"10";"5";"9"
"Faith Akin";"Q77061";"7";"9";"7"
"Fritz Lang";"Q19504";"9";"4";"4"
"Leni Riefenstahl";"Q55415";"5";"8";"8"
"Rainer Werner Fassbinder";"Q44426";"4";"7";"6"
"Roland Emmerich";"Q60100";"2";"3";"2"
"Tom Tykwer";"Q57231";"6";"10";""
"Werner Herzog";"Q44131";"3";"6";"5"
"Wim Wenders";"Q55411";"1";"1";"3"
"Wolfgang Petersen";"Q65321";"8";"2";"1"
